,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
4685,Dacia Sandero 0.9 TCe Laureate,8650.0,Dacia,Sandero,2017,75 310 km,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
4686,Toyota Land Cruiser,10800.0,Toyota,Land Cruiser,2004,213 500 km,Diesel,163 CP,2 982 cm3,4x4 (automat),Euro 4,Manuala,SUV,Austria,Da,Da
4687,Fiat Scudo L2 (5-Si.) Panorama Executive,4350.0,Fiat,Scudo,2007,286 000 km,Diesel,120 CP,1 997 cm3,Fata,,Manuala,Monovolum,,,
4688,Audi A4 Allroad quattro 3.0 TDI S tronic,19900.0,Audi,A4 Allroad,2017,203 000 km,Diesel,218 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Combi,,Da,Da
4689,Ford Transit Custom Kombi 320 2.0 EcoBlue 105 CP L1H1 Trend,8200.0,Ford,Transit Custom,2016,233 062 km,Diesel,105 CP,1 995 cm3,Fata,Euro 5,Manuala,Monovolum,,,
4690,Audi SQ5 3.0 TFSI quattro tiptronic,22000.0,Audi,SQ5,2015,157 000 km,Benzina,354 CP,2 995 cm3,4x4 (manual),,Automata,SUV,,,
4691,Volkswagen Golf 1.4 Variant Trendline,4000.0,Volkswagen,Golf,2005,324 000 km,Benzina,75 CP,1 390 cm3,,,Manuala,Compacta,,,
4692,Nissan Pulsar DIG-T X-TRONIC Stop&Start N-Connecta,9350.0,Nissan,Pulsar,2015,93 000 km,Benzina,115 CP,1 197 cm3,Fata,,Automata,Compacta,Romania,,Da
4693,Volkswagen Bora,1650.0,Volkswagen,Bora,2003,230 000 km,Benzina,110 CP,1 598 cm3,,,Manuala,Sedan,,,
4694,Mitsubishi Pajero LWB 3.2 DI-D Instyle A70,21500.0,Mitsubishi,Pajero,2015,162 000 km,Diesel,200 CP,3 200 cm3,4x4 (manual),Euro 5,Automata,SUV,Romania,,
4695,Mini Countryman Cooper SD Aut.,11950.0,Mini,Countryman,2014,199 000 km,Diesel,143 CP,1 995 cm3,Fata,Euro 6,Automata,Compacta,Belgia,Da,Da
4696,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line,24900.0,Mercedes-Benz,GLC,2016,188 000 km,Diesel,170 CP,2 143 cm3,4x4 (manual),Euro 6,Automata,SUV,Germania,,Da
4697,Dacia Duster,13250.0,Dacia,Duster,2020,27 000 km,Benzina + GPL,101 CP,999 cm3,,,Manuala,SUV,,,
4698,Skoda Octavia Combi Diesel 1.6 TDI DSG Style,14950.0,Skoda,Octavia,2019,163 638 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Automata,Combi,Olanda,,Da
4699,Hyundai I30 1.4 CRDi Classic,7790.0,Hyundai,I30,2015,210 927 km,Diesel,90 CP,1 396 cm3,Fata,Euro 5,Manuala,Masina mica,,Da,Da
4700,Volkswagen Touareg 3.0 V6 TDI SCR Blue Motion DPF Automatik,18000.0,Volkswagen,Touareg,2015,305 276 km,Diesel,262 CP,2 967 cm3,4x4 (manual),Euro 6,Automata,SUV,Germania,,
4701,Porsche Cayenne Diesel Platinum Edition,26900.0,Porsche,Cayenne,2014,215 000 km,Diesel,245 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,
4702,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,28900.0,Mercedes-Benz,GLC,2018,177 000 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,Belgia,Da,Da
4703,BMW Seria 7 750Li,37000.0,BMW,Seria 7,2016,43 250 km,Benzina,450 CP,4 395 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
