,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
11492,Volkswagen Golf,5699.0,Volkswagen,Golf,2009,195 000 km,Benzina,80 CP,1 390 cm3,,,Manuala,Masina mica,,Da,Da
11493,Skoda Fabia 1.9 D Comfort,999.0,Skoda,Fabia,2003,196 000 km,Diesel,64 CP,1 896 cm3,Fata,Euro 3,Manuala,Combi,Austria,Da,Da
11494,Skoda Yeti,7499.0,Skoda,Yeti,2012,266 365 km,Diesel,110 CP,1 968 cm3,4x4 (automat),Euro 5,Manuala,SUV,Germania,,Da
11495,Audi Q5 55 TFSI e quattro S tronic,41174.0,Audi,Q5,2020,66 500 km,Hibrid,252 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
11496,BMW X3 xDrive20d AT xLine,36414.0,BMW,X3,2019,90 300 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
11497,Mitsubishi Outlander,22750.0,Mitsubishi,Outlander,2018,101 150 km,Hibrid,135 CP,2 360 cm3,4x4 (automat),,Automata,SUV,,,
11499,Opel Crossland 1.2 Start/Stop Edition,14958.0,Opel,Crossland,2022,1 km,Benzina,110 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,,,Da
11501,Volkswagen Passat Variant 2.0 TDI Highline DPF,3000.0,Volkswagen,Passat,2007,250 000 km,Diesel,140 CP,1 968 cm3,Fata,,Manuala,Combi,,,
11502,Seat Tarraco,27250.0,Seat,Tarraco,2020,102 316 km,Diesel,150 CP,1 968 cm3,4x4 (automat),,Automata,SUV,,,
11503,Opel Crossland 1.2 Start/Stop Edition,14958.0,Opel,Crossland,2022,1 km,Benzina,110 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,,,Da
11504,Volkswagen Passat Variant 2.0 TDI Highline DPF,3000.0,Volkswagen,Passat,2007,250 000 km,Diesel,140 CP,1 968 cm3,Fata,,Manuala,Combi,,,
11506,Audi A6 2.0 40 TDI quattro S tronic Sport,36360.0,Audi,A6,2020,119 616 km,Diesel,204 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,Da,Da
11508,Volkswagen Caravelle T6.1 2.0 TDI 150 kW LR Comfortline DSG 4M,62951.0,Volkswagen,Caravelle,2023,1 km,Diesel,204 CP,1 968 cm3,4x4 (automat),,Automata,Combi,,,Da
11509,Mercedes-Benz V 250 (BlueTEC) d extralang 7G-TRONIC Avantgarde Edition,45990.0,Mercedes-Benz,V,2016,173 000 km,Diesel,190 CP,2 143 cm3,Spate,Euro 6d,Automata,Monovolum,,,Da
11510,Renault Clio IV Energy dCi Life,8751.0,Renault,Clio,2016,50 485 km,Diesel,75 CP,1 461 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,,
11511,Dacia Logan,7449.0,Dacia,Logan,2017,105 120 km,Diesel,75 CP,1 461 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,
11512,Mercedes-Benz GLS 400 d 4MATIC Aut.,104990.0,Mercedes-Benz,GLS,2021,54 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11513,Mercedes-Benz A,34899.0,Mercedes-Benz,A,2021,22 170 km,Hibrid,163 CP,1 332 cm3,,,Automata,Sedan,,Da,Da
11514,Ford Tourneo Connect,37485.0,Ford,Tourneo Connect,2022,5 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Automata,Monovolum,,,
11515,BMW X6 xDrive30d,113988.0,BMW,X6,2023,1 km,Diesel,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
11516,Mercedes-Benz S 350 (BlueTEC) d 4Matic 7G-TRONIC,34990.0,Mercedes-Benz,S,2014,197 650 km,Diesel,258 CP,2 987 cm3,,,Automata,Sedan,,,
11517,Skoda RAPID 1.2 TSI Ambition,6400.0,Skoda,RAPID,2014,131 350 km,Benzina,86 CP,1 197 cm3,Fata,Euro 5,Manuala,Sedan,,,
11518,Skoda Superb 2.0 TDI DSG Style,16000.0,Skoda,Superb,2016,196 000 km,Diesel,150 CP,1 968 cm3,,,Automata,Sedan,,,
11519,BMW XM,139200.0,BMW,XM,2023,16 500 km,Hibrid,585 CP,4 395 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11520,Mercedes-Benz GLC 250 d 4MATIC,25700.0,Mercedes-Benz,GLC,2016,250 000 km,Diesel,204 CP,2 143 cm3,4x4 (automat),,Automata,SUV,,,
11521,Renault Megane Blue dCi Intens,11990.0,Renault,Megane,2019,177 000 km,Diesel,116 CP,1 461 cm3,,,Manuala,Compacta,,,
11522,Mercedes-Benz A,19800.0,Mercedes-Benz,A,2016,116 024 km,Benzina,156 CP,1 595 cm3,Fata,Euro 6,Automata,Compacta,Romania,Da,Da
11523,Mercedes-Benz GLE Coupe 350 d 4MATIC,59899.0,Mercedes-Benz,GLE Coupe,2018,58 754 km,Diesel,258 CP,2 987 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
11524,Mercedes-Benz C 220 d 4MATIC Aut,29900.0,Mercedes-Benz,C,2019,132 006 km,Diesel,194 CP,1 950 cm3,4x4 (automat),,Automata,Sedan,,,
11525,Skoda Fabia 1.2 TSI Ambition,9200.0,Skoda,Fabia,2017,33 500 km,Benzina,90 CP,1 197 cm3,Fata,Euro 6,Manuala,Compacta,,,
11526,Dacia Sandero Stepway TCe 90 MT6 Expression,12595.0,Dacia,Sandero Stepway,2023,8 km,Benzina,90 CP,999 cm3,Fata,,Manuala,Masina de oras,Romania,,Da
11527,Dacia Duster 1.5 Blue dCi 4WD Comfort,15749.0,Dacia,Duster,2019,53 895 km,Diesel,115 CP,1 461 cm3,4x4 (manual),Euro 6,Manuala,SUV,Romania,Da,Da
11528,BMW X6 xDrive40d,44998.0,BMW,X6,2019,122 367 km,Diesel,313 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11532,Mercedes-Benz GLE 400 d 4MATIC,67900.0,Mercedes-Benz,GLE,2019,124 848 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,
11533,Hyundai ix35 1.7 CRDi 2WD blue Comfort,8990.0,Hyundai,ix35,2012,208 820 km,Diesel,116 CP,1 685 cm3,Fata,Euro 5,Manuala,SUV,Belgia,,
11534,BMW Seria 3 318d,5500.0,BMW,Seria 3,2010,260 500 km,Diesel,143 CP,1 995 cm3,Spate,Euro 5,Manuala,Combi,Germania,,Da
11535,Audi A4 Avant 2.0 40 TDI quattro S tronic S Line,19990.0,Audi,A4,2016,213 000 km,Diesel,190 CP,1 968 cm3,4x4 (automat),,Automata,Combi,,,
11536,Ford Mondeo 1.6 SCTi EcoBoost Business Edition,5800.0,Ford,Mondeo,2011,164 170 km,Benzina,160 CP,1 596 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
11537,Audi A5 2.0 TDI Sportback DPF multitronic,11990.0,Audi,A5,2013,203 000 km,Diesel,143 CP,1 968 cm3,Fata,,Automata,Sedan,Germania,,Da
11538,Hyundai Santa Fe 2.2 CRDi 4WD Luxury+,23000.0,Hyundai,Santa Fe,2014,112 500 km,Diesel,197 CP,2 199 cm3,4x4 (automat),,Automata,SUV,,,Da
11539,BMW Seria 5 520d,16000.0,BMW,Seria 5,2013,127 000 km,Diesel,184 CP,1 995 cm3,Spate,,Automata,Sedan,,,
11540,Dacia Duster Blue dCi 115 4X4 Expression,24001.0,Dacia,Duster,2023,10 km,Diesel,115 CP,1 461 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,Da,Da
11541,Porsche Panamera 4 E-Hybrid Platinum Edition,113050.0,Porsche,Panamera,2022,40 000 km,Hibrid,330 CP,2 894 cm3,4x4 (manual),,Automata,Sedan,,,
11542,Audi A4 Avant 2.0 TDIe,7250.0,Audi,A4,2011,283 109 km,Diesel,136 CP,1 968 cm3,Fata,Euro 5a,Manuala,Combi,Olanda,,Da
11543,Mercedes-Benz AMG GT-S,94900.0,Mercedes-Benz,AMG GT-S,2017,64 968 km,Benzina,522 CP,3 982 cm3,Spate,Euro 6,Automata,Coupe,Germania,,Da
11544,Mercedes-Benz GLC,35900.0,Mercedes-Benz,GLC,2019,116 077 km,Diesel,194 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11545,Audi A5 Sportback 2.0 TFSI quattro S tronic,34000.0,Audi,A5,2018,98 500 km,Benzina,252 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
11546,Honda CR-V 2.0 Hybrid i-MMD 4WD E-CVT Executive,37664.0,Honda,CR-V,2022,35 000 km,Hibrid,145 CP,1 993 cm3,4x4 (manual),Euro 6,Automata,SUV,Romania,Da,Da
11547,Dacia Duster 1.5 Blue dCi 4WD,14990.0,Dacia,Duster,2019,152 951 km,Diesel,115 CP,1 461 cm3,4x4 (manual),Euro 6,Manuala,SUV,Romania,Da,Da
11548,Mercedes-Benz C 200 Coupe 4Matic 9G-TRONIC AMG Line,29750.0,Mercedes-Benz,C,2017,149 000 km,Benzina,184 CP,1 991 cm3,4x4 (automat),Euro 6c,Automata,Sedan,,,Da
11549,BMW X4 xDrive30d Aut. M Sport,74900.0,BMW,X4,2023,4 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6d,Automata,SUV,Germania,Da,Da
11550,Mercedes-Benz E,35100.0,Mercedes-Benz,E,2019,110 766 km,Diesel,194 CP,1 950 cm3,Spate,Euro 6,Automata,Sedan,,,Da
11551,Renault Trafic ENERGY dCi 145 L1H1 Komfort,18988.0,Renault,Trafic,2019,202 524 km,Diesel,145 CP,1 598 cm3,Fata,Euro 6,Manuala,Monovolum,,Da,Da
11552,Lexus Seria ES 300h Luxury Line,42840.0,Lexus,Seria ES,2019,57 152 km,Hibrid,178 CP,2 487 cm3,Fata,Euro 6,Automata,Sedan,,,
11553,Dacia Dokker 1.5 dCi 90 CP Stepway,9990.0,Dacia,Dokker,2018,126 450 km,Diesel,90 CP,1 461 cm3,Fata,,Manuala,Monovolum,,,
11554,Honda CR-V 1.6i DTEC 4WD Automatik Executive,15450.0,Honda,CR-V,2015,191 000 km,Diesel,160 CP,1 597 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11555,Opel Zafira Tourer 2.0 CDTI ECOTEC Excite Aut.,11790.0,Opel,Zafira,2018,81 166 km,Diesel,130 CP,1 956 cm3,Fata,Euro 6,Automata,Monovolum,,Da,Da
11556,Opel Astra 1.0 Turbo Start/Stop Business,9996.0,Opel,Astra,2019,129 000 km,Benzina,90 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
11557,Audi Q7 3.0 TDI Quattro Tiptronic,39500.0,Audi,Q7,2016,116 000 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
11558,Volvo XC 90 D5 AWD Inscription,34990.0,Volvo,XC 90,2017,134 000 km,Diesel,225 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
11559,Renault Laguna 1.5 dCi Exception,4900.0,Renault,Laguna,2013,244 000 km,Diesel,110 CP,1 461 cm3,,,Manuala,Sedan,,,
11560,BMW X4 M M40d Sport Edition,50000.0,BMW,X4 M,2019,196 000 km,Diesel,340 CP,2 993 cm3,,,Automata,SUV,,,
11561,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,19949.0,Volkswagen,Tiguan,2016,225 688 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
11562,Volkswagen Golf 1.9 TDI Comfortline,3790.0,Volkswagen,Golf,2006,225 000 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Masina de oras,Germania,Da,Da
11563,Kia Sportage 2.0 CVVT 4WD Automatik Vision,9300.0,Kia,Sportage,2012,243 000 km,Benzina,163 CP,1 998 cm3,,,Automata,SUV,,,
11564,BMW Seria 5 520d Efficient Dynamics Edition Aut.,29800.0,BMW,Seria 5,2018,55 000 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,Germania,,
11565,Mercedes-Benz AMG GT-S 63 4MATIC+,148750.0,Mercedes-Benz,AMG GT-S,2022,23 000 km,Benzina,639 CP,3 982 cm3,,,Automata,Coupe,Germania,Da,Da
11566,BMW Seria 7 740d xDrive MHEV,123641.0,BMW,Seria 7,2023,12 309 km,Diesel,300 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,Da
11567,Toyota Hilux 2.4D 150CP 4x4 Double Cab AT Executive,40460.0,Toyota,Hilux,2022,12 km,Diesel,150 CP,2 393 cm3,4x4 (manual),Euro 6,Automata,SUV,,Da,Da
11568,BMW X2 xDrive20d AT M Sport X,29700.0,BMW,X2,2018,53 247 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,,Da
11570,BMW X4 xDrive30i AT,61285.0,BMW,X4,2022,15 100 km,Benzina,252 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
11571,Seat Ateca,14900.0,Seat,Ateca,2017,230 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Manuala,SUV,,,
11572,Mercedes-Benz AMG GT-S,119000.0,Mercedes-Benz,AMG GT-S,2019,26 000 km,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,Da,Da
11573,Toyota RAV4 2.5 VVT-i HSD 4x4 Elegance,21500.0,Toyota,RAV4,2017,143 700 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
11574,Volkswagen Tiguan 1.5 TSI OPF,31213.0,Volkswagen,Tiguan,2022,1 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Manuala,SUV,,,Da
11575,Volkswagen Passat 2.0 TDI DSG 4Motion Comfortline,22500.0,Volkswagen,Passat,2019,98 701 km,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,,
11577,Volvo S90 D3 Inscription,20800.0,Volvo,S90,2018,176 500 km,Diesel,150 CP,1 969 cm3,Fata,Euro 6b,Automata,Sedan,,,
11578,BMW X4 xDrive30i AT,61285.0,BMW,X4,2022,15 100 km,Benzina,252 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
11579,Skoda Fabia,8850.0,Skoda,Fabia,2017,120 689 km,Benzina,90 CP,1 197 cm3,Fata,Euro 6,Manuala,Masina de oras,Germania,,
11580,Seat Ateca,14900.0,Seat,Ateca,2017,230 000 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Manuala,SUV,,,
11581,Mercedes-Benz C,30900.0,Mercedes-Benz,C,2018,43 548 km,Benzina,197 CP,1 497 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
11582,Skoda Octavia,14889.0,Skoda,Octavia,2019,148 080 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
11583,Mercedes-Benz T,34986.0,Mercedes-Benz,T,2022,10 900 km,Diesel,116 CP,1 461 cm3,Fata,Euro 6d,Automata,Monovolum,,,Da
11584,Ford Focus 1.0 EcoBoost Start-Stopp-System TREND,9998.0,Ford,Focus,2019,199 615 km,Benzina,100 CP,998 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,Da
11585,Toyota RAV4 2.5 VVT-i HSD 4x4 Elegance,21500.0,Toyota,RAV4,2017,143 700 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
11586,Volkswagen Tiguan 1.5 TSI OPF,31213.0,Volkswagen,Tiguan,2022,1 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Manuala,SUV,,,Da
11587,Volkswagen Passat 2.0 TDI DSG 4Motion Comfortline,22500.0,Volkswagen,Passat,2019,98 701 km,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,Romania,,
11588,Ford Focus,18990.0,Ford,Focus,2021,17 000 km,Benzina,150 CP,1 496 cm3,,,Manuala,Compacta,Romania,,
11589,BMW X4 xDrive20d,54145.0,BMW,X4,2022,12 550 km,Diesel,190 CP,1 995 cm3,4x4 (automat),,Automata,SUV,Romania,Da,Da
11590,BMW X5 xDrive40d AT MHEV,81515.0,BMW,X5,2022,19 800 km,Diesel,340 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
11591,Dacia Logan,8950.0,Dacia,Logan,2019,94 877 km,Benzina,90 CP,898 cm3,,,Manuala,Sedan,Romania,Da,
11592,Seat Ibiza ST 1.6 TDI CR FR,5750.0,Seat,Ibiza,2013,135 000 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Combi,,,
11593,BMW Seria 3 320i,5999.0,BMW,Seria 3,2008,267 300 km,Benzina,150 CP,1 995 cm3,Spate,Euro 4,Manuala,Sedan,Germania,Da,Da
11594,Dacia Duster 1.5 dCi 4x2 Laureate,7989.0,Dacia,Duster,2016,200 000 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,SUV,Belgia,Da,Da
11595,Dacia Logan,2400.0,Dacia,Logan,2010,253 000 km,Benzina + GPL,87 CP,1 598 cm3,,Euro 4,Manuala,Compacta,Romania,Da,
11596,Land Rover Defender 90 3.0P 400 MHEV XS Edition,91600.0,Land Rover,Defender,2023,1 km,Benzina,400 CP,2 996 cm3,4x4 (automat),Euro 6,Automata,SUV,Slovacia,,Da
11597,Volkswagen Jetta 1.6 TDI CR DPF Highline,8500.0,Volkswagen,Jetta,2014,170 000 km,Diesel,105 CP,1 598 cm3,Fata,,Manuala,Sedan,,,
11598,BMW Seria 5 520d Efficient Dynamics Edition,11999.0,BMW,Seria 5,2011,245 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Manuala,Sedan,Germania,,
11599,Audi A4 2.0 TDI,15997.0,Audi,A4,2017,129 000 km,Diesel,122 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,Belgia,,Da
11600,Hyundai Tucson,17500.0,Hyundai,Tucson,2017,70 970 km,Benzina,132 CP,1 591 cm3,Fata,,Manuala,SUV,,,
11601,Ford Mondeo,21900.0,Ford,Mondeo,2021,88 325 km,Hibrid,140 CP,1 999 cm3,Fata,,Automata,Sedan,,,
11602,Fiat Tipo 1.4 T-Jet Easy,11890.0,Fiat,Tipo,2020,17 879 km,Benzina,120 CP,1 368 cm3,Fata,Euro 6,Manuala,Sedan,,,
11603,Renault Megane Grandtour ENERGY dCi 110 Start & Stopp Paris,7490.0,Renault,Megane,2014,169 000 km,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
11604,Mitsubishi Outlander PHEV 2.4 L 4X4 Instyle+,25750.0,Mitsubishi,Outlander,2019,59 900 km,Hibrid,135 CP,2 360 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
11605,Jaguar XF 3.0D S Portofolio Aut,8500.0,Jaguar,XF,2010,198 500 km,Diesel,275 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,Germania,,
11606,Jaguar S-Type,12900.0,Jaguar,S-Type,2003,90 360 km,Benzina,396 CP,4 196 cm3,Spate,,Automata,Sedan,,,
11607,Mini ONE,6500.0,Mini,ONE,2007,140 000 km,Benzina,80 CP,1 600 cm3,,,Manuala,Cabrio,,,
11608,Volkswagen Transporter T5 7JD101/WF2/ZP1/0WQ,4700.0,Volkswagen,Transporter,2008,305 000 km,Diesel,130 CP,2 460 cm3,Fata,Euro 4,Manuala,Monovolum,,,
11609,Peugeot 207,4100.0,Peugeot,207,2010,82 000 km,Benzina,73 CP,1 360 cm3,Fata,Euro 5,Manuala,Masina mica,Romania,Da,Da
11610,Mercedes-Benz GLE Coupe 350 d 4MATIC,46500.0,Mercedes-Benz,GLE Coupe,2017,105 900 km,Diesel,258 CP,2 987 cm3,4x4 (automat),,Automata,SUV,,,Da
11611,Peugeot Partner Origin HDi 75,2150.0,Peugeot,Partner,2007,275 500 km,Diesel,75 CP,1 560 cm3,Fata,Euro 4,Manuala,Monovolum,Romania,Da,
11612,Land Rover Range Rover Sport 3.0 I6 D250 MHEV Dynamic SE,109470.0,Land Rover,Range Rover Sport,2023,2 km,Diesel,249 CP,2 997 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
11613,Volkswagen Polo,2600.0,Volkswagen,Polo,2007,197 000 km,Benzina,80 CP,1 390 cm3,Fata,Euro 5,Manuala,Masina de oras,,,
11614,Skoda Octavia 2.0 TDI Ambition,17600.0,Skoda,Octavia,2020,170 230 km,Diesel,115 CP,1 968 cm3,Fata,,Manuala,Sedan,,,
11615,Ford Ranger Pick-Up 2.2 TDCi 4x4 Cabina Dubla XLT,18750.0,Ford,Ranger,2019,199 999 km,Diesel,160 CP,2 198 cm3,4x4 (automat),Euro 6,Manuala,Monovolum,Romania,Da,Da
11616,Seat Leon 1.4 TSI Style,4990.0,Seat,Leon,2010,169 629 km,Benzina,125 CP,1 390 cm3,Fata,,Manuala,Compacta,,,
11617,Audi A6 Avant 2.0 TDI Ultra DPF S tronic,19040.0,Audi,A6,2018,201 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Olanda,Da,Da
11618,Mercedes-Benz CLA AMG 45 S 4Matic+ AMG Speedshift 8G-DCT,79135.0,Mercedes-Benz,CLA,2022,4 000 km,Benzina,421 CP,1 991 cm3,4x4 (automat),Euro 6d,Automata,Coupe,,Da,Da
11619,Mercedes-Benz Sprinter,44900.0,Mercedes-Benz,Sprinter,2021,357 000 km,Diesel,190 CP,2 987 cm3,Spate,Euro 6,Automata,Monovolum,,Da,
11620,Mercedes-Benz G AMG 63 SW Long Aut.,235000.0,Mercedes-Benz,G,2022,14 600 km,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6d,Automata,SUV,,,Da
11621,Mercedes-Benz GLE 400 d 4MATIC,102088.0,Mercedes-Benz,GLE,2021,6 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6d,Automata,SUV,Germania,,Da
11622,Ford Puma 1.0 EcoBoost mHEV Titanium,18799.0,Ford,Puma,2022,1 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
11624,Mercedes-Benz GLE,103792.0,Mercedes-Benz,GLE,2022,6 000 km,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6b,Automata,SUV,,,Da
11625,Dacia Dokker 1.5 Blue dCi Laureate,10850.0,Dacia,Dokker,2019,95 917 km,Diesel,95 CP,1 461 cm3,Fata,,Manuala,Monovolum,Romania,Da,
11626,Fiat 500X 1.6 Multijet 4x2 S&S Sport,11950.0,Fiat,500X,2015,130 000 km,Diesel,120 CP,1 598 cm3,Fata,Euro 5,Manuala,SUV,Italia,,Da
11627,Ford Edge 2.0 TDCi Powershift Titanium,19000.0,Ford,Edge,2017,175 000 km,Diesel,210 CP,1 997 cm3,4x4 (automat),,Automata,SUV,Italia,,
11628,Lamborghini URUS,249980.0,Lamborghini,URUS,2019,28 000 km,Benzina,650 CP,3 996 cm3,4x4 (manual),,Automata,SUV,,,
11629,BMW X5 xDrive30d AT MHEV,67900.0,BMW,X5,2022,24 200 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
11630,BMW Seria 3 320d Aut. Sport Line,17300.0,BMW,Seria 3,2016,236 000 km,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,Germania,,
11631,Audi A4 Avant 35 TDI S tronic sport,16990.0,Audi,A4,2019,215 000 km,Diesel,150 CP,1 968 cm3,,,Automata,Combi,,,
11632,BMW Seria 5 530d xDrive Touring Aut. Luxury Line,19900.0,BMW,Seria 5,2016,139 000 km,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Combi,,,Da
11633,Dacia Sandero,12650.0,Dacia,Sandero,2022,12 300 km,Benzina,91 CP,999 cm3,,,Manuala,Masina de oras,Romania,,Da
11634,BMW X4 xDrive20d AT MHEV,61642.0,BMW,X4,2023,4 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,
11635,Skoda Octavia 2.0 TDI STYLE DSG,18800.0,Skoda,Octavia,2018,106 499 km,Diesel,150 CP,1 968 cm3,4x4 (automat),,Automata,Combi,Romania,Da,
11636,Volkswagen Tiguan 2.0 TDI 4Mot DSG Comfortline,24902.0,Volkswagen,Tiguan,2020,80 554 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
11637,Opel Mokka,10900.0,Opel,Mokka,2016,51 750 km,Benzina,115 CP,1 598 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,
11638,Volkswagen Passat,4300.0,Volkswagen,Passat,2010,356 700 km,Diesel,110 CP,1 968 cm3,,,Manuala,Combi,,,
11639,Volkswagen Golf 2.0 BlueTDI DSG Highline,12990.0,Volkswagen,Golf,2014,160 000 km,Diesel,150 CP,1 968 cm3,,,Automata,Compacta,,,
11640,Audi A6,24900.0,Audi,A6,2016,147 000 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
11641,Mercedes-Benz ML 350 BlueTec 4MATIC Aut,33990.0,Mercedes-Benz,ML,2015,58 134 km,Diesel,258 CP,2 987 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
11642,Ford Fiesta 1.0 EcoBoost Trend,14000.0,Ford,Fiesta,2022,14 000 km,Benzina,100 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,Da,
11643,Ford Mondeo 2.0 TDCi Titanium,19000.0,Ford,Mondeo,2018,38 000 km,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,
11644,Skoda Octavia Combi Diesel 1.6 TDI Active,13300.0,Skoda,Octavia,2018,92 000 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Romania,Da,
11645,Ford Focus 1.5 TDCi Titanium,14200.0,Ford,Focus,2019,88 000 km,Diesel,120 CP,1 498 cm3,Fata,Euro 6,Manuala,Combi,Romania,Da,
11646,Ford Fiesta 1.1,10200.0,Ford,Fiesta,2019,65 000 km,Benzina,85 CP,1 084 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,Da,
11647,Volkswagen Passat,24200.0,Volkswagen,Passat,2019,45 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,Romania,Da,
11648,Renault Clio,9500.0,Renault,Clio,2018,43 000 km,Benzina,75 CP,1 149 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,Da,
11649,Ford Kuga 2.0 TDCi 4WD Powershift,19000.0,Ford,Kuga,2019,122 000 km,Diesel,180 CP,1 997 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,
11650,Volkswagen Crafter,10710.0,Volkswagen,Crafter,2018,680 000 km,Diesel,177 CP,1 968 cm3,,Euro 6,Manuala,Monovolum,Romania,Da,Da
11651,Mercedes-Benz GLC 300 4MATIC,58310.0,Mercedes-Benz,GLC,2020,14 950 km,Benzina,258 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
11652,BMW Seria 7 730d xDrive,38000.0,BMW,Seria 7,2017,228 277 km,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
11653,Land Rover Range Rover Sport 3.0 I SDV6 SE,27988.0,Land Rover,Range Rover Sport,2015,132 000 km,Diesel,306 CP,2 993 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
